uid,civilite,prenom,nom,date_naissance,ville_naissance,profession_declaree,insee_cat_socpro,insee_fam_socpro,groupe_politique,departement,circonscription
PA794114,M.,Emmanuel,Mandon,1965-06-22,Neuilly-sur-Seine,Conseiller d'insertion professionnelle,Professions intermédiaires administratives et commerciales des entreprises,Professions intermédiaires,Les Démocrates,Loire,3
PA794118,M.,Antoine,Vermorel-Marques,1993-02-17,Roanne,Conseiller parlementaire,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Droite Républicaine,Loire,5
PA794130,M.,Andy,Kerbrat,1990-10-01,Toulouse,Chargé d'assistance automobile,Employés administratifs d'entreprise,Employés,La France insoumise - Nouveau Front Populaire,Loire-Atlantique,2
PA794138,Mme,Ségolène,Amiot,1986-02-23,Chatenay-Malabry,Employé administratif d'entreprise,Employés administratifs d'entreprise,Employés,La France insoumise - Nouveau Front Populaire,Loire-Atlantique,3
PA794146,Mme,Julie,Laernoes,1982-07-03,Delft,Ancien cadre,Sans profession déclarée,Sans profession déclarée,Écologiste et Social,Loire-Atlantique,4
PA794154,M.,Jean-Claude,Raux,1967-01-18,Argentan,"Professeur, profession scientifique",Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Écologiste et Social,Loire-Atlantique,6
PA794166,M.,Matthias,Tavel,1987-07-06,Villeurbanne,Cadre de la fonction publique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,La France insoumise - Nouveau Front Populaire,Loire-Atlantique,8
PA794178,M.,Jean-Pierre,Taite,1962-03-14,Feurs,"Ancien artisan, commerçant, chef d'entreprise",Sans profession déclarée,Sans profession déclarée,Droite Républicaine,Loire,6
PA794198,M.,Roger,Chudeau,1949-09-28,Berlin,Inspecteur général de l'éducation nationale honoraire,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Rassemblement National,Loir-et-Cher,2
PA794206,M.,Christophe,Marion,1973-04-25,Vendôme,Délégué général du Comité des travaux historiques et scientifiques,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Loir-et-Cher,3
PA794234,M.,François,Gernigon,1961-04-02,Angers,Ancien cadre,Professions libérales,Cadres et professions intellectuelles supérieures,Horizons & Indépendants,Maine-et-Loire,1
PA794262,Mme,Patricia,Maussion,1968-09-23,Sainte-Gemmes-D'Andigné,Agricultrice,Agriculteurs exploitants,Agriculteurs exploitants,Les Démocrates,Maine-et-Loire,7
PA794270,Mme,Anna,Pic,1978-06-04,Montpellier,"Professeur, profession scientifique",Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Socialistes et apparentés,Manche,4
PA794278,M.,Xavier,Albertini,1970-01-28,Royan,Profession libérale,Professions libérales,Cadres et professions intellectuelles supérieures,Horizons & Indépendants,Marne,1
PA794322,M.,Thomas,Ménagé,1992-01-06,Blois,Cadre administratif et commercial d'entreprise,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Rassemblement National,Loiret,4
PA794330,M.,Anthony,Brosse,1980-11-04,Saint-Calais,Profession intermédiaire de la santé et du travail social,"Professions de l’enseignement primaire et professionnel, de la formation continue et du sport",Professions intermédiaires,Ensemble pour la République,Loiret,5
PA794354,Mme,Hélène,Laporte,1978-12-29,Villeneuve-sur-Lot,Analyste bancaire,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Rassemblement National,Lot-et-Garonne,2
PA794418,Mme,Florence,Goulet,1961-06-30,Le Mêle-sur-Sarthe,Cadre de la fonction publique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Rassemblement National,Meuse,2
PA794430,M.,Michel,Criaud,1962-08-03,Vannes,Maître menuisier à la retraite,Artisans,"Artisans, commerçants, chefs d'entreprises",Horizons & Indépendants,Morbihan,1
PA794434,M.,Christophe,Bentz,1987-07-04,Boulogne-Billancourt,"Professeur, profession scientifique",Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Rassemblement National,Haute-Marne,1
PA794442,Mme,Laurence,Robert-Dehault,1964-01-17,Saint-Dizier,Profession libérale,Professions libérales,Cadres et professions intellectuelles supérieures,Rassemblement National,Haute-Marne,2
PA794470,Mme,Félicie,Gérard,1974-01-28,Saint-Quentin,Chef de projet,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Horizons & Indépendants,Nord,7
PA794486,Mme,Violette,Spillebout,1972-09-02,Lyon,Cadre administratif et commercial d'entreprise,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Nord,9
PA794494,M.,Roger,Vicot,1963-06-01,Denain,sans profession,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Socialistes et apparentés,Nord,11
PA794502,M.,Michaël,Taverne,1979-03-10,Maubeuge,Policier et militaire,"Employés administratifs de la fonction publique, agents de service et auxiliaires de santé",Employés,Rassemblement National,Nord,12
PA794518,M.,Pierre,Marle,1954-02-19,Bollezeele,Directeur d'école primaire (retraité),"Professions de l’enseignement primaire et professionnel, de la formation continue et du sport",Professions intermédiaires,Horizons & Indépendants,Nord,14
PA794530,M.,Matthieu,Marchio,1993-06-08,Dieppe,Cadre administratif et commercial d'entreprise,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Rassemblement National,Nord,16
PA794562,M.,Philippe,Ballard,1960-11-24,Champigny-sur-Marne,Ancien journaliste,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Rassemblement National,Oise,2
PA794570,M.,Alexandre,Sabatou,1993-02-18,Nogent sur Marne,Chef de projets SI,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Rassemblement National,Oise,3
PA794578,Mme,Véronique,Ludmann,1963-03-17,La Bassée,Directrice d'école,"Professions de l’enseignement primaire et professionnel, de la formation continue et du sport",Professions intermédiaires,Horizons & Indépendants,Oise,4
PA794582,M.,Kévin,Pfeffer,1990-07-09,Forbach,Permanent politique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Rassemblement National,Moselle,6
PA794590,M.,Alexandre,Loubet,1994-07-07,Toulouse,Cadre d'entreprise,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Rassemblement National,Moselle,7
PA794598,M.,Laurent,Jacobelli,1969-10-13,Thiais,"Profession de l'information, des arts et des spectacles",Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Rassemblement National,Moselle,8
PA794658,M.,Philippe,Fait,1969-06-24,Cucq,"Professeur des écoles, instituteur et assimilé","Professions de l’enseignement primaire et professionnel, de la formation continue et du sport",Professions intermédiaires,Horizons & Indépendants,Pas-de-Calais,4
PA794670,Mme,Caroline,Parmentier,1965-12-16,Pau,Attachée de Presse,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Rassemblement National,Pas-de-Calais,9
PA794678,M.,Thierry,Frappé,1952-05-23,Forest sur Marque,Profession libérale,Professions libérales,Cadres et professions intellectuelles supérieures,Rassemblement National,Pas-de-Calais,10
PA794686,Mme,Marianne,Maximi,1985-11-13,Louviers,Profession intermédiaire de la santé et du travail social,"Professions de l’enseignement primaire et professionnel, de la formation continue et du sport",Professions intermédiaires,La France insoumise - Nouveau Front Populaire,Puy-de-Dôme,1
PA794702,Mme,Delphine,Lingemann,1972-11-14,Issoire,Chef d'entreprise - Enseignante associée université,Professions libérales,Cadres et professions intellectuelles supérieures,Les Démocrates,Puy-de-Dôme,4
PA794710,M.,Julien,Brugerolles,1982-07-05,Beaumont,Collaborateur parlementaire,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Gauche Démocrate et Républicaine,Puy-de-Dôme,5
PA794718,Mme,Christine,Engrand,1955-05-07,Boulogne sur Mer,Cadre administratif et commercial d'entreprise,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Non inscrit,Pas-de-Calais,6
PA794734,M.,Michel,Guiniot,1954-11-29,Chauny,Ancien cadre,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Rassemblement National,Oise,6
PA794750,M.,Thierry,Liger,1970-05-27,Nogent-Le-Rotrou,Chef d'entreprise,Chefs d'entreprise de 10 salariés ou plus,"Artisans, commerçants et chefs d'entreprise",Droite Républicaine,Orne,2
PA794762,Mme,Sandrine,Dogor-Such,1970-11-08,Tours,Préparatrice en pharmacie,Employés de commerce,Employés,Rassemblement National,Pyrénées-Orientales,3
PA794770,Mme,Michèle,Martinez,1968-06-06,Perpignan,Clerc d'huissier,Professions intermédiaires administratives et commerciales des entreprises,Professions intermédiaires,Rassemblement National,Pyrénées-Orientales,4
PA794778,Mme,Sandra,Regol,1978-04-13,Beziers,(85) - Personne diverse sans activité professionnelle de moins de 60 ans (sauf r,Sans profession déclarée,Sans profession déclarée,Écologiste et Social,Bas-Rhin,1
PA794786,M.,Emmanuel,Fernandes,1980-08-10,Thann,Profession intermédiaire administrative et commerciale des entreprises,Professions intermédiaires administratives et commerciales des entreprises,Professions intermédiaires,La France insoumise - Nouveau Front Populaire,Bas-Rhin,2
PA794798,Mme,Françoise,Buffet,1953-12-11,Strasbourg,"Ancien artisan, commerçant, chef d'entreprise",Sans profession déclarée,Sans profession déclarée,Ensemble pour la République,Bas-Rhin,4
PA794802,M.,Charles,Sitzenstuhl,1988-12-03,Sélestat,Cadre de la fonction publique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Bas-Rhin,5
PA794810,Mme,Louise,Morel,1995-10-15,Strasbourg,Cadre administratif et commercial d'entreprise,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Les Démocrates,Bas-Rhin,6
PA794830,M.,Hubert,Ott,1964-06-06,Colmar,"Professeur, profession scientifique",Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Les Démocrates,Haut-Rhin,2
PA794838,M.,Didier,Lemaire,1975-07-23,Altkirch,Employé civil et agent de service de la fonction publique,"Employés administratifs de la fonction publique, agents de service et auxiliaires de santé",Employés,Horizons & Indépendants,Haut-Rhin,3
PA794854,M.,Iñaki,Echaniz,1993-09-02,Oloron-sainte-Marie,Cadre de la fonction publique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Socialistes et apparentés,Pyrénées-Atlantiques,4
PA794870,Mme,Sylvie,Ferrer,1967-11-06,Toulouse,(85) - Personne diverse sans activité professionnelle de moins de 60 ans (sauf r,Sans profession déclarée,Sans profession déclarée,La France insoumise - Nouveau Front Populaire,Hautes-Pyrénées,1
PA794886,Mme,Sophie,Blanc,1968-02-20,Toulouse,Profession libérale,Professions libérales,Cadres et professions intellectuelles supérieures,Rassemblement National,Pyrénées-Orientales,1
PA794894,Mme,Anaïs,Sabatini,1990-03-10,Perpignan,Avocate,Professions libérales,Cadres et professions intellectuelles supérieures,Rassemblement National,Pyrénées-Orientales,2
PA794906,M.,Gabriel,Amard,1967-05-05,Juvisy-sur-Orge,Cadre administratif et commercial d'entreprise,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,La France insoumise - Nouveau Front Populaire,Rhône,6
PA794938,M.,Idir,Boumertit,1974-10-04,Lyon,Employé administratif d'entreprise,"Professions de l’enseignement primaire et professionnel, de la formation continue et du sport",Professions intermédiaires,La France insoumise - Nouveau Front Populaire,Rhône,14
PA794946,M.,Antoine,Villedieu,1989-03-08,Lure,Policier,"Employés administratifs de la fonction publique, agents de service et auxiliaires de santé",Employés,Rassemblement National,Haute-Saône,1
PA794954,M.,Emeric,Salmon,1973-11-26,Vannes,Cadre administratif et commercial d'entreprise,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Rassemblement National,Haute-Saône,2
PA794982,Mme,Julie,Delpech,1989-09-25,Le Mans,Chargée de communication,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Sarthe,1
PA794994,M.,Alexandre,Portier,1990-04-21,La Tronche,Professeur de philosophie,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Droite Républicaine,Rhône,9
PA795010,Mme,Marie-Charlotte,Garin,1995-09-02,Vernon,Collaboratrice politique en collectivité locale,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Écologiste et Social,Rhône,3
PA795026,Mme,Anne-Cécile,Violland,1973-06-10,Évian-les-Bains,Profession libérale,"Professions de l’enseignement primaire et professionnel, de la formation continue et du sport",Professions intermédiaires,Horizons & Indépendants,Haute-Savoie,5
PA795046,Mme,Caroline,Yadan,1968-08-14,Boulogne-Billancourt,Avocat,Professions libérales,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Français établis hors de France,8
PA795050,Mme,Astrid,Panosyan-Bouvet,1971-08-13,Paris,Cadre administratif et commercial d'entreprise,Chefs d'entreprise de plus de 10 personnes,"Artisans, commerçants, chefs d'entreprises",Ensemble pour la République,Paris,4
PA795076,Mme,Sandrine,Rousseau,1972-03-08,Maisons Alfort,"Professeur, profession scientifique",Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Écologiste et Social,Paris,9
PA795084,M.,Rodrigo,Arenas,1974-04-24,El Almendral,Cadre de la fonction publique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,La France insoumise - Nouveau Front Populaire,Paris,10
PA795100,M.,Éric,Martineau,1968-05-08,Le Mans,Agriculteur sur moyenne exploitation,Agriculteurs exploitants,Agriculteurs exploitants,Les Démocrates,Sarthe,3
PA795108,Mme,Élise,Leboucher,1982-10-09,Ernée,Educatrice spécialisée,"Professions de l’enseignement primaire et professionnel, de la formation continue et du sport",Professions intermédiaires,La France insoumise - Nouveau Front Populaire,Sarthe,4
PA795124,M.,Didier,Padey,1965-11-09,Chambéry,cadre commercial,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Les Démocrates,Savoie,1
PA795136,M.,Jean-François,Coulomme,1966-04-01,Paris,Ingénieur commercial,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,La France insoumise - Nouveau Front Populaire,Savoie,4
PA795156,Mme,Fatiha,Keloua Hachi,1971-06-05,Paris,"Professeur, profession scientifique",Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Socialistes et apparentés,Seine-Saint-Denis,8
PA795164,Mme,Aurélie,Trouvé,1979-09-20,Chauny,Cadre de la fonction publique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,La France insoumise - Nouveau Front Populaire,Seine-Saint-Denis,9
PA795176,M.,Nicolas,Metzdorf,1988-05-20,Nouméa,Ingénieur et cadre technique d'entreprise,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Nouvelle-Calédonie,1
PA795200,Mme,Alma,Dufour,1990-05-06,Auch,Responsable associative,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,La France insoumise - Nouveau Front Populaire,Seine-Maritime,4
PA795228,Mme,Nadège,Abomangoli,1975-09-15,Brazzaville,Contrôleure interne et risk manager,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,La France insoumise - Nouveau Front Populaire,Seine-Saint-Denis,10
PA795240,Mme,Mereana,Reid Arbelot,1970-09-12,Papeete,Ingénieur en chef du contrôle de la navigation aérienne,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Gauche Démocrate et Républicaine,Polynésie Française,3
PA795244,M.,Stéphane,Lenormand,1964-08-13,Saint-Pierre,Ancien cadre,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,"Libertés, Indépendants, Outre-mer et Territoires",Saint-Pierre-et-Miquelon,1
PA795258,M.,Frantz,Gumbs,1954-01-21,Saint-Martin,Personnel de direction de l'éducation nationale retraité,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Les Démocrates,Saint-Barthélemy et Saint-Martin,1
PA795270,Mme,Marie-Agnès,Poussier-Winsback,1967-03-25,Nancy,Enseignante,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Horizons & Indépendants,Seine-Maritime,9
PA795298,M.,Jérôme,Legavre,1972-08-20,Rennes,Professeur de lettres,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,La France insoumise - Nouveau Front Populaire,Seine-Saint-Denis,12
PA795310,Mme,Clémence,Guetté,1991-03-15,Bressuire,Cadre du secteur privé,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,La France insoumise - Nouveau Front Populaire,Val-de-Marne,2
PA795318,M.,Louis,Boyard,2000-08-26,Fontenay-le-Comte,"Elève, étudiant",Sans profession déclarée,Sans profession déclarée,La France insoumise - Nouveau Front Populaire,Val-de-Marne,3
PA795326,M.,Christopher,Weissberg,1985-11-26,Neuilly-sur-Seine,Cadre dirigeant,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Français établis hors de France,1
PA795334,M.,Benoît,Larrouquis,1969-11-18,Pau,Chef d'entreprise,Chefs d'entreprise de plus de 10 personnes,"Artisans, commerçants, chefs d'entreprises",Ensemble pour la République,Français établis hors de France,2
PA795350,M.,Frédéric,Valletoux,1966-08-23,Paris,Profession de l'information,Professions libérales,Cadres et professions intellectuelles supérieures,Horizons & Indépendants,Seine-et-Marne,2
PA795362,Mme,Lisa,Belluco,1988-07-20,Metz,Cadre de la fonction publique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Écologiste et Social,Vienne,1
PA795374,M.,Pascal,Lecamp,1958-04-06,Civray,Cadre administratif et commercial d'entreprise,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Les Démocrates,Vienne,3
PA795390,Mme,Sandrine,Lalanne,1973-02-16,Paris,Sans profession déclarée,Ingénieurs et cadres techniques d’entreprise,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Val-de-Marne,5
PA795402,Mme,Nathalie,Coggia,1977-07-16,France,Directrice financière et des opérations,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Français établis hors de France,5
PA795410,Mme,Béatrice,Roullaud,1960-06-09,Béziers,Profession libérale,Professions libérales,Cadres et professions intellectuelles supérieures,Rassemblement National,Seine-et-Marne,6
PA795422,M.,Damien,Maudet,1996-11-14,Brive-la-Gaillarde,Cadre administratif et commercial d'entreprise,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,La France insoumise - Nouveau Front Populaire,Haute-Vienne,1
PA795430,M.,Stéphane,Delautrette,1972-09-20,Limoges,Ingénieur dans le domaine de l'environnement,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Socialistes et apparentés,Haute-Vienne,2
PA795454,M.,Karim,Ben Cheikh,1977-03-19,Tunis,Cadre de la fonction publique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Écologiste et Social,Français établis hors de France,9
PA795466,Mme,Ersilia,Soudais,1988-05-21,Aubervilliers,"Professeur, profession scientifique",Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,La France insoumise - Nouveau Front Populaire,Seine-et-Marne,7
PA795482,Mme,Manon,Meunier,1996-03-30,Limoges,Cadre de la fonction publique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,La France insoumise - Nouveau Front Populaire,Haute-Vienne,3
PA795516,M.,Maxime,Laisney,1981-01-19,Lisieux,"Professeur des écoles, instituteur et assimilé",Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,La France insoumise - Nouveau Front Populaire,Seine-et-Marne,10
PA795528,M.,Charles,Rodwell,1996-07-26,Londres,Cadre de la fonction publique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Yvelines,1
PA795540,M.,Daniel,Grenon,1948-07-31,Saint-Fargeau,"Ancien artisan, commerçant, chef d'entreprise",Sans profession déclarée,Sans profession déclarée,Non inscrit,Yonne,1
PA795552,M.,Julien,Odoul,1985-05-08,Paris,Collaborateur parlementaire,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Rassemblement National,Yonne,3
PA795588,Mme,Farida,Amrani,1976-09-03,Ajdir,Cadre de la fonction publique,"Employés administratifs de la fonction publique, agents de service et auxiliaires de santé",Employés,La France insoumise - Nouveau Front Populaire,Essonne,1
PA795596,M.,Paul,Vannier,1985-09-19,Vitry Sur Seine,Professeur d'histoire-géographie,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,La France insoumise - Nouveau Front Populaire,Val-d'Oise,5
PA795616,M.,Carlos Martens,Bilongo,1990-12-31,Villiers Le Bel,"Professeur, profession scientifique",Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,La France insoumise - Nouveau Front Populaire,Val-d'Oise,8
PA795636,M.,Benjamin,Lucas-Lundy,1990-10-08,Amiens,(85) - Personne diverse sans activité professionnelle de moins de 60 ans (sauf r,Sans profession déclarée,Sans profession déclarée,Écologiste et Social,Yvelines,8
PA795644,Mme,Nathalie,Da Conceicao Carvalho,1966-03-31,Blois,Profession libérale,Professions libérales,Cadres et professions intellectuelles supérieures,Rassemblement National,Essonne,2
PA795664,M.,Paul,Midy,1983-01-25,Fontainebleau,Chef d'entreprise de 10 salariés ou plus,Chefs d'entreprise de plus de 10 personnes,"Artisans, commerçants, chefs d'entreprises",Ensemble pour la République,Essonne,5
PA795672,M.,Arnaud,Le Gall,1980-11-29,Carhaix-Plouguer,Cadre de la fonction publique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,La France insoumise - Nouveau Front Populaire,Val-d'Oise,9
PA795722,M.,Karl,Olive,1969-03-29,Saint Germain en Laye,Chef d'entreprise,Professions libérales,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Yvelines,12
PA795730,M.,Bastien,Marchive,1990-07-15,Niort,Juriste,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Deux-Sèvres,1
PA795746,M.,Antoine,Léaument,1989-09-04,Châteauroux,Responsable de la communication numérique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,La France insoumise - Nouveau Front Populaire,Essonne,10
PA795762,M.,Elie,Califer,1954-04-19,Saint-Claude,Ancien cadre,Sans profession déclarée,Sans profession déclarée,Socialistes et apparentés,Guadeloupe,4
PA795778,M.,Jean-Philippe,Tanguy,1986-03-25,Boulogne-sur-Mer,Cadre administratif et commercial d'entreprise,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Rassemblement National,Somme,4
PA795786,Mme,Yaël,Ménaché,1985-05-12,Péronne,Commerciale,Professions intermédiaires administratives et commerciales des entreprises,Professions intermédiaires,Rassemblement National,Somme,5
PA795808,Mme,Sabrina,Sebaihi,1981-05-10,Ivry-sur-Seine,Profession libérale,Professions libérales,Cadres et professions intellectuelles supérieures,Écologiste et Social,Hauts-de-Seine,4
PA795820,M.,Marcellin,Nadeau,1962-11-02,Saint-Pierre,Cadre de la fonction publique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Gauche Démocrate et Républicaine,Martinique,2
PA795844,Mme,Karen,Erodi,1977-02-04,Toulouse,Profession libérale,Professions libérales,Cadres et professions intellectuelles supérieures,La France insoumise - Nouveau Front Populaire,Tarn,2
PA795864,M.,Pierre,Cazeneuve,1995-03-11,Saint Cloud,Cadre de la fonction publique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Hauts-de-Seine,7
PA795868,M.,Jean-Victor,Castor,1962-04-21,Sinnamary,Cadre technique d'entreprise,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Gauche Démocrate et Républicaine,Guyane,1
PA795876,M.,Davy,Rimane,1979-12-15,Kourou,Technicien,Agents de maîtrise (hors maîtrise administrative),Professions intermédiaires,Gauche Démocrate et Républicaine,Guyane,2
PA795884,M.,Marc,Ferracci,1977-12-19,Les Lilas,"Professeur, profession scientifique",Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Français établis hors de France,6
PA795900,Mme,Marine,Hamelet,1967-07-13,Savigny-sur-Orge,Profession intermédiaire administrative et commerciale des entreprises,Employés de commerce,Employés,Rassemblement National,Tarn-et-Garonne,2
PA795908,M.,Yannick,Chenevard,1959-11-27,Toulon,Profession libérale,Professions libérales,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Var,1
PA795912,Mme,Laure,Lavalette,1976-04-16,Talence,(85) - Personne diverse sans activité professionnelle de moins de 60 ans (sauf r,Sans profession déclarée,Sans profession déclarée,Rassemblement National,Var,2
PA795920,Mme,Prisca,Thevenot,1985-03-01,Strasbourg,Collaboratrice parlementaire,Professions intermédiaires administratives et commerciales des entreprises,Professions intermédiaires,Ensemble pour la République,Hauts-de-Seine,8
PA795954,Mme,Catherine,Ibled,1975-05-25,Neuilly-Sur-Seine,Directrice adjointe de la communication,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Paris,13
PA795962,Mme,Joséphine,Missoffe,1973-09-24,Boulogne Billancourt,Infirmière-Puéricultrice,"Professions de l’enseignement primaire et professionnel, de la formation continue et du sport",Professions intermédiaires,Ensemble pour la République,Paris,14
PA795966,M.,Stéphane,Rambaud,1960-04-05,Alger,Retraité de la police nationale,Sans profession déclarée,Sans profession déclarée,Rassemblement National,Var,3
PA795974,M.,Philippe,Lottiaux,1966-08-14,Auchel,Cadre de la fonction publique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Rassemblement National,Var,4
PA795982,M.,Aurélien,Saintoul,1988-05-26,Drancy,Cadre de la fonction publique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,La France insoumise - Nouveau Front Populaire,Hauts-de-Seine,11
PA795998,Mme,Émeline,K/Bidi,1987-05-13,Saint-Denis,Avocate,Professions libérales,Cadres et professions intellectuelles supérieures,Gauche Démocrate et Républicaine,Réunion,4
PA796010,M.,Frédéric,Maillot,1986-11-15,Saint-Pierre,Intervenant social,"Professions de l’enseignement primaire et professionnel, de la formation continue et du sport",Professions intermédiaires,Gauche Démocrate et Républicaine,Réunion,6
PA796018,Mme,Danielle,Simonnet,1971-07-02,Montereau-Fault-Yonne,"Professeur, profession scientifique",Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Écologiste et Social,Paris,15
PA796026,Mme,Julie,Lechanteux,1977-12-22,Annecy,(85) - Personne diverse sans activité professionnelle de moins de 60 ans (sauf r,Sans profession déclarée,Sans profession déclarée,Rassemblement National,Var,5
PA796034,M.,Frank,Giletti,1973-03-01,Evreux,Fonctionnaire,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Rassemblement National,Var,6
PA796042,M.,Frédéric,Boccaletti,1973-11-23,Martigues,(85) - Personne diverse sans activité professionnelle de moins de 60 ans,Sans profession déclarée,Sans profession déclarée,Rassemblement National,Var,7
PA796050,M.,Philippe,Schreck,1972-02-02,Verdun,Profession libérale,Professions libérales,Cadres et professions intellectuelles supérieures,Rassemblement National,Var,8
