uid,civilite,prenom,nom,date_naissance,ville_naissance,groupe_politique,departement,circonscription,profession_declaree,insee_cat_socpro,insee_fam_socpro,wikidata_url,frwiki_url,plus_haut_diplome,domaines_etudes,a_travaille_prive,a_travaille_public,carriere_politique_seule,profil_carriere,confiance,notes
PA794470,Mme,Félicie,Gérard,1974-01-28,Saint-Quentin,Horizons & Indépendants,Nord,7,Chef de projet,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q112651528,https://fr.wikipedia.org/wiki/F%C3%A9licie_G%C3%A9rard,inconnu,,1,0,0,prive_uniquement,haute,"Wikipédia confirme un parcours entièrement salarié chez Enedis (conseiller clients industriels 2007-2017 puis chef de projet en 2022), en cohérence avec sa profession déclarée ('chef de projet') ; parcours politique local (adjointe au maire de Wasquehal) mené en parallèle, non professionnel. Diplôme resté inconnu malgré vérification de : fr.wikipedia (section 'Éducation et famille' ne traite que de vie associative, pas d'études), HATVP (aucune fiche trouvée), pappers.fr (bloqué 403), nosdeputes.fr (erreur serveur), recherche web générale. - Diplôme resté inconnu malgré nouvelle vérification : JSON HATVP local sans champ formation, wikitext brut Wikipédia (infobox sans champ université, section « Éducation et famille » ne traitant que de vie associative comme relevé au premier passage). HATVP précise et corrige légèrement les dates du second poste chez Enedis : « Chargée de Projet » du 01/2019 au 06/2022 (et non simplement « 2022 » comme indiqué précédemment), ce qui comble en partie l'écart 2017-2019 même si l'activité exacte sur cette période reste incertaine. Reste de la carrière inchangé."
PA1592,M.,David,Habib,1961-03-16,Paris,"Libertés, Indépendants, Outre-mer et Territoires",Pyrénées-Atlantiques,3,Cadre,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q3018028,https://fr.wikipedia.org/wiki/David_Habib,bac+5,sciences-politiques,0,0,1,politique_principalement,moyenne,"L'infobox et le texte Wikipédia confirment l'IEP de Bordeaux, diplômé en 1983 (sourcé). Le niveau exact d'équivalence est incertain : en 1983, avant la réforme LMD des IEP (généralisée au début des années 2000), le diplôme d'IEP correspondait à un cycle de 3 ans post-bac, souvent assimilé à une maîtrise (bac+4) plutôt qu'à un master (bac+5) au sens actuel ; faute de règle explicite dans les consignes pour ce cas, bac+5 est retenu par convention usuelle (grade reconnu aujourd'hui pour un diplôme d'IEP) mais la confiance est plafonnée à moyenne du fait de cette ambiguïté. Aucun employeur, privé ou public, n'a été trouvé pour la période entre l'obtention du diplôme (1983) et son premier mandat électif de conseiller municipal de Mourenx (1989) : la biographie Wikipédia très détaillée et sourcée ne mentionne aucune activité professionnelle, et sa déclaration HATVP a une liste « activités » vide. Sa profession déclarée à l'Assemblée nationale (« Cadre ») n'est adossée à aucun employeur identifiable dans les sources consultées."
PA841471,M.,Stéphane,Hablot,1965-06-30,Mont-Saint-Martin,Socialistes et apparentés,Meurthe-et-Moselle,2,Education nationale,"Professions de l’enseignement primaire et professionnel, de la formation continue et du sport",Professions intermédiaires,http://www.wikidata.org/entity/Q63765570,https://fr.wikipedia.org/wiki/St%C3%A9phane_Hablot,bac+3_4,enseignement,0,1,0,public_uniquement,moyenne,"Wikipédia le décrit comme 'professeur dans l'enseignement secondaire et technique' avant de devenir maire de Vandœuvre-lès-Nancy en 2008 (mandat tenu 16 ans jusqu'à son élection de député, conformément à la règle de non-cumul). Sa déclaration HATVP, consultée directement, ne liste aucune activité professionnelle rémunérée ('Néant'), seulement des mandats électifs — cohérent avec une carrière d'enseignant achevée avant la période couverte par la déclaration. Le niveau de diplôme est une inférence à partir du statut de professeur titulaire de l'enseignement secondaire technique (concours CAPET/PLP, qui exigeait a minima une licence à l'époque probable de son entrée dans le métier, milieu des années 1980) : aucune source ne nomme d'établissement ni de diplôme précis, donc confiance limitée à 'moyenne'."
PA842263,Mme,Ayda,Hadizadeh,1982-02-12,Téhéran,Socialistes et apparentés,Val-d'Oise,2,(37) - Cadre administratif et commercial d'entreprise,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q127256464,https://fr.wikipedia.org/wiki/Ayda_Hadizadeh,bac+3_4,,1,1,0,mixte_public_prive,moyenne,"Carrière confirmée par fr.wikipedia, en.wikipedia et un article de presse locale (mesinfos.fr) : plusieurs années au ministère de l'Éducation nationale (direction générale de l'enseignement scolaire, dates précises non données), puis direction générale de la Fondation Mozaïk (2021-2022, insertion professionnelle des publics discriminés) et délégation générale de l'association 'Les Oubliés de la République' depuis 2023 ; ces deux dernières activités associatives sont classées ici comme 'worked_private' faute de catégorie dédiée dans le schéma, distinctes de la fonction publique. Diplôme resté totalement inconnu malgré vérification de : fr.wikipedia, en.wikipedia, article mesinfos.fr dédié ('de l'Éducation nationale à l'Assemblée'), site de campagne personnel (ayda-deputee.fr, y compris une page intitulée 'Education' qui ne traite en réalité que de ses commissions parlementaires), recherche web générale — aucune mention d'université, d'école ou de diplôme. - Diplôme inconnu, mais inférence de profession réglementée retenue : son poste de « cheffe de bureau » à la DGESCO du ministère de l'Éducation nationale correspond à une fonction de catégorie A de la fonction publique d'État, ce qui justifie un niveau bac+3_4 par analogie avec la règle « attaché territorial / catégorie A », d'où confiance plafonnée à « moyenne » (aucun établissement ni diplôme nommé dans les sources). Un blog personnel de 2015 (commedesreines.wordpress.com, vérifié par curl+grep) décrit son parcours scolaire jusqu'au lycée (classe musicale à Cergy, section européenne, BAFA à 17 ans) mais s'arrête avant l'enseignement supérieur et ne mentionne aucun diplôme précis ; l'article du Point (2025) est bloqué par un paywall (contenu quasi vide au fetch) ; l'article mesinfos.fr est également verrouillé côté contenu (uniquement du texte de navigation récupéré). HATVP local apporte en revanche une précision cruciale sur la carrière : dates exactes du poste DGESCO (09/2016-08/2020, et non « plusieurs années non précisées »), ajout d'un poste inédit de directrice du développement scientifique international à l'Université CY (09/2020-08/2021, secteur public, comblant l'écart avant la Fondation Mozaïk), et titre exact « directrice générale adjointe » (et non « directrice générale ») à la Fondation Mozaïk (09/2021-08/2022). L'adjointe au maire est ajoutée à la carrière avec dates précises (mai 2020-septembre 2024) tirées de l'infobox Wikipédia brute, jusqu'ici absente de la liste carrière. Les activités associatives (Fondation Mozaïk, Les Oubliés de la République) restent comptées comme « worked_private » faute de catégorie dédiée dans le schéma, comme au premier passage."
PA841947,Mme,Zahia,Hamdane,1965-05-14,Amiens,La France insoumise - Nouveau Front Populaire,Somme,2,(43) - Profession intermédiaire de la santé et du travail social,"Professions de l’enseignement primaire et professionnel, de la formation continue et du sport",Professions intermédiaires,http://www.wikidata.org/entity/Q127224995,https://fr.wikipedia.org/wiki/Zahia_Hamdane,bac+3_4,autre,0,0,0,public_uniquement,moyenne,"Carrière entièrement associative dans la protection de l'enfance (mission d'intérêt social proche du service public), sans emploi privé ni fonction publique classique identifié."
PA795900,Mme,Marine,Hamelet,1967-07-13,Savigny-sur-Orge,Rassemblement National,Tarn-et-Garonne,2,Profession intermédiaire administrative et commerciale des entreprises,Employés de commerce,Employés,http://www.wikidata.org/entity/Q112652898,https://fr.wikipedia.org/wiki/Marine_Hamelet,bac+2,droit | gestion-commerce,1,0,0,prive_uniquement,haute,
PA722070,M.,Pierre,Henriet,1991-11-26,Fontenay-le-Comte,Horizons & Indépendants,Vendée,5,Professeur du secondaire et technique,"Professions de l’enseignement primaire et professionnel, de la formation continue et du sport",Professions intermédiaires,http://www.wikidata.org/entity/Q30349445,https://fr.wikipedia.org/wiki/Pierre_Henriet,bac+5,education,0,1,0,public_uniquement,moyenne,"Niveau de diplôme déduit de la profession (le CAPES/CAPET requiert un master depuis la mastérisation), non détaillé explicitement dans la biographie."
PA1630,M.,Michel,Herbillon,1951-03-06,Saint-Mandé,Droite Républicaine,Val-de-Marne,8,Cadre supérieur,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q924976,https://fr.wikipedia.org/wiki/Michel_Herbillon,bac+5,sciences politiques,1,1,0,mixte_public_prive,moyenne,La biographie reste vague sur les employeurs précis durant ses 23 ans dans le secteur privé.
PA841813,Mme,Florence,Herouin-Léautey,1972-12-28,Paris,Socialistes et apparentés,Seine-Maritime,1,(33) - Cadre de la fonction publique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q126688666,https://fr.wikipedia.org/wiki/Florence_H%C3%A9rouin-L%C3%A9autey,bac+3_4,,0,1,0,public_uniquement,haute,"Wikipédia confirme qu'elle était attachée territoriale (fonction publique territoriale, catégorie A) avant de devenir élue locale à Rouen puis adjointe au maire chargée des écoles. Fille de Pierre Léautey, ancien maire de Mont-Saint-Aignan et ancien député. Le grade d'attaché territorial s'obtient généralement par un concours externe qui exige a minima une licence, mais il existe aussi des voies de concours interne sans ce prérequis ; en l'absence de source nommant un établissement ou un diplôme précis, le niveau est resté 'inconnu' plutôt que déduit. Vérifié : fr.wikipedia, article ici.fr (aucune information biographique supplémentaire), HATVP (aucune fiche trouvée), recherche web générale. - Diplôme inconnu, mais inférence de profession réglementée retenue cette fois : le grade d'attaché territorial (catégorie A de la fonction publique territoriale) implique en règle générale un niveau licence, d'où bac+3_4 retenu conformément à la grille d'inférence de ce lot, confiance plafonnée à « moyenne ». Le chercheur précédent avait choisi de ne pas faire cette inférence en raison de l'existence d'une voie de concours interne sans prérequis de licence ; ce doute subsiste (aucune source ne précise la voie de recrutement ni un établissement), d'où le maintien à « moyenne » plutôt qu'à « haute ». HATVP local précise la date de début exacte de son poste d'attachée territoriale (janvier 2015, au lieu de « avant 2020 » vague) et la mise à disposition auprès de l'Agence Régionale de l'Orientation et des Métiers depuis février 2020, avec disponibilité pour mandat électif à partir de septembre 2021 — carrière mise à jour avec ces dates précises. Wikitext brut Wikipédia et fiche AN ne contiennent aucune information supplémentaire sur les études."
PA840947,Mme,Catherine,Hervieu,1958-05-09,Meknès,Écologiste et Social,Côte-d'Or,2,Psychologue scolaire,Sans profession déclarée,Sans profession déclarée,http://www.wikidata.org/entity/Q112657434,https://fr.wikipedia.org/wiki/Catherine_Hervieu,bac+5,medecine-sante | enseignement,0,1,0,public_uniquement,moyenne,"Sa profession déclarée officielle ('psychologue scolaire') et plusieurs sources confirment un parcours enseignante puis psychologue au sein de l'Éducation nationale, complété par un engagement associatif environnemental (France Nature Environnement, Atmo Bourgogne Franche-Comté). Le titre de psychologue est une profession réglementée en France (loi du 25 juillet 1985) qui exige légalement une licence puis un master de psychologie (ou DESS/DEA avant la réforme LMD) : c'est une inférence de ce type, donc confiance plafonnée à 'moyenne' comme demandé, et aucun établissement n'est nommé. Vérifié : site personnel catherinehervieu.fr (aucune info biographique sur les études), page 'Les Écologistes de Bourgogne' (bloquée, 403), fr.wikipedia, recherche web générale."
PA841853,Mme,Céline,Hervieu,1993-08-19,Paris,Socialistes et apparentés,Paris,11,(31) - Profession libérale,Professions libérales,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q106489533,https://fr.wikipedia.org/wiki/C%C3%A9line_Hervieu,bac+5,droit | lettres-sciences humaines | sciences politiques,0,1,0,public_uniquement,moyenne,"A aussi une expérience associative (ONG, Cimade, France Terre d'Asile)."
PA608416,M.,Patrick,Hetzel,1964-07-02,Phalsbourg,Droite Républicaine,Bas-Rhin,7,Professeur des Universités,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q3369516,https://fr.wikipedia.org/wiki/Patrick_Hetzel,doctorat,gestion-commerce,0,1,0,public_uniquement,haute,"Carrière presque intégralement dans l'enseignement supérieur public et la haute administration, avec un court passage en cabinet ministériel."
PA794082,Mme,Mathilde,Hignet,1993-06-10,Rennes,La France insoumise - Nouveau Front Populaire,Ille-et-Vilaine,4,Ouvrière agricole,"Ouvriers agricoles, des travaux forestiers, de la pêche et de l’aquaculture",Ouvriers,http://www.wikidata.org/entity/Q112642303,https://fr.wikipedia.org/wiki/Mathilde_Hignet,bac_ou_moins,agriculture | autre,1,0,0,prive_uniquement,moyenne,Statut public/privé de l'Ehpad où elle a travaillé non précisé dans la source.
PA1654,M.,François,Hollande,1954-08-12,Rouen,Socialistes et apparentés,Corrèze,1,Conseiller référendaire à la Cour des comptes,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q157,https://fr.wikipedia.org/wiki/Fran%C3%A7ois_Hollande,bac+5,sciences politiques | droit | gestion-commerce,0,1,0,public_uniquement,haute,
PA722150,M.,Sacha,Houlié,1988-10-08,Bressuire,Socialistes et apparentés,Vienne,2,Avocat,Professions libérales,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q30349465,https://fr.wikipedia.org/wiki/Sacha_Houli%C3%A9,bac+5,droit,1,0,0,prive_uniquement,haute,
PA793632,M.,Timothée,Houssin,1988-07-29,Lille,Rassemblement National,Eure,5,Cadre,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q63313476,https://fr.wikipedia.org/wiki/Timoth%C3%A9e_Houssin,bac+5,commerce,0,0,1,politique_principalement,haute,"Correction par rapport au champ « actuel » du batch (qui indiquait prive_uniquement, confiance basse) : la biographie Wikipédia, très détaillée et sourcée, montre qu'il « s'installe en Normandie pour intégrer une école de commerce à Rouen » (nom de l'école non précisé, jamais dit diplômé — donc diplôme laissé à inconnu plutôt que bac+5), et que toute sa carrière adulte documentée est celle d'un collaborateur politique/parlementaire rémunéré : attaché parlementaire de l'eurodéputé FN Nicolas Bay (2014-2015, objet de la mise en examen puis de la condamnation dans l'affaire des emplois présumés fictifs d'assistants du FN/RN au Parlement européen — condamné en 2025 puis en appel en 2026 à du sursis et à une peine d'inéligibilité), puis assistant parlementaire de l'eurodéputée Annika Bruna (2017-2022), confirmé par le HATVP. Un bref épisode « Gestion des fédérations » chez « FNUF » (01-08/2017) reste d'employeur/secteur non identifiable (recherche Wikipédia et pappers.fr infructueuses, ce dernier bloqué par Cloudflare)."
PA842085,M.,Sébastien,Humbert,1990-07-10,Epinal,Rassemblement National,Vosges,4,(33) - Cadre de la fonction publique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q126936549,https://fr.wikipedia.org/wiki/S%C3%A9bastien_Humbert_(homme_politique),bac+2,informatique,0,1,0,public_uniquement,haute,Parcours passant d'un emploi technique dans la fonction publique à des fonctions de collaborateur politique.
PA841017,M.,Harold,Huwart,1982-01-03,Chartres,"Libertés, Indépendants, Outre-mer et Territoires",Eure-et-Loir,3,Administrateur de l'État,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q33104478,https://fr.wikipedia.org/wiki/Harold_Huwart,bac+5,lettres-sciences humaines | sciences politiques,0,1,0,public_uniquement,moyenne,"Carrière d'administrateur de l'État déduite de la profession déclarée et du cursus ENA, non détaillée dans la biographie."
PA267200,M.,Sébastien,Huyghe,1969-10-25,Béthune,Ensemble pour la République,Nord,5,Notaire,Professions libérales,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q3510140,https://fr.wikipedia.org/wiki/S%C3%A9bastien_Huyghe,bac+5,droit | gestion-commerce,1,,0,prive_uniquement,moyenne,"La biographie ne précise pas explicitement son activité de notaire avant 2002, mais la profession déclarée l'indique."
PA795954,Mme,Catherine,Ibled,1975-05-25,Neuilly-Sur-Seine,Ensemble pour la République,Paris,13,Directrice adjointe de la communication,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q122533029,https://fr.wikipedia.org/wiki/Catherine_Ibled,bac+3_4,arts | communication-journalisme | commerce,1,1,0,mixte_public_prive,haute,"Parcours détaillé et daté trouvé via contexte.com (source de veille politique/économique fiable, consultée directement) : diplômée d'histoire de l'art à Paris I Panthéon-Sorbonne (juillet 1998), puis chargée de communication au conseil régional de Picardie (public, 1999-2000), plus d'une décennie dans la régie publicitaire/commerciale du journal Les Échos (privé, 2000-2012), puis dirigeante de sa propre agence de conseil en communication C2C et de la structure de holding Com'As. Devenue députée en novembre 2025 comme suppléante de David Amiel. Le niveau exact du diplôme (licence vs maîtrise) n'est pas précisé par la source, d'où le choix de 'bac+3_4'."
PA794022,M.,Jérémie,Iordanoff,1983-02-02,Laxou,Écologiste et Social,Isère,5,Artiste-peintre,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q112650363,https://fr.wikipedia.org/wiki/J%C3%A9r%C3%A9mie_Iordanoff,bac_ou_moins,arts,1,0,0,politique_principalement,haute,"Carrière bien documentée par la déclaration HATVP (dépôt du 16/07/2025) : attaché parlementaire de Jean-Louis Roumégas (2012-2017), secrétaire national adjoint d'EELV rémunéré (2019-2022), et activité d'artiste-peintre indépendant aux revenus modestes et irréguliers (0 à 8 174 €/an entre 2018 et 2024). L'essentiel de la vie active semble s'être déroulé dans des fonctions politiques (attaché parlementaire à temps plein puis cadre de parti rémunéré), d'où le profil « politique_principalement », mais l'activité artistique indépendante réelle empêche de cocher political_career_only. Niveau d'études inconnu : scolarité en lycée d'arts appliqués, tentative d'études de mathématiques abandonnée, études de droit engagées puis formation en informatique menée à bien, mais aucun diplôme final n'est mentionné dans la source déjà identifiée (petit-bulletin.fr). Sources consultées cette session : Wikipedia FR (article complet), fiche HATVP. Les moteurs de recherche (WebSearch, DuckDuckGo, Bing, Brave, Mojeek, Yandex, Marginalia) étaient tous indisponibles ou bloqués (quota épuisé / anti-bot) pendant cette session, empêchant une recherche d'éducation complémentaire. - Nouvelle information vérifiée par curl+grep sur l'interview petit-bulletin.fr (source déjà citée dans le wikitext brut de son article, non consultée par le chercheur précédent) : « Issu d'un lycée Arts appliqués, Jérémie Iordanoff déroule un parcours en pointillés [...] ""échec cuisant"" en filière mathématiques [...] le peintre bosse dans l'informatique grâce à une formation réussie. » Cela indique une scolarité en lycée technique/professionnel d'arts appliqués (niveau bac), un passage raté en filière mathématiques à l'université (études non menées à terme), puis une « formation » réussie en informatique dont le niveau exact (stage court, titre professionnel, ou diplôme type BTS/DUT) n'est pas précisé par la source. En l'absence de confirmation d'un diplôme post-bac obtenu, le niveau retenu est « bac_ou_moins » par prudence (aucun diplôme d'enseignement supérieur explicitement validé), avec confiance « moyenne » compte tenu de l'ambiguïté sur la formation informatique. Carrière inchangée, HATVP confirmant les revenus d'artiste-peintre (10/2018-06/2024) et le poste de dirigeant à EELV (12/2019-07/2022, dates précises)."
PA722374,M.,Cyrille,Isaac-Sibille,1958-04-30,Lyon,Les Démocrates,Rhône,12,Médecin,Professions libérales,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q30342132,https://fr.wikipedia.org/wiki/Cyrille_Isaac-Sibille,doctorat,medecine-sante,1,0,0,prive_uniquement,moyenne,"Le détail de l'exercice (cabinet libéral vs hôpital) n'est pas précisé, mais profession libérale déclarée."
PA794598,M.,Laurent,Jacobelli,1969-10-13,Thiais,Rassemblement National,Moselle,8,"Profession de l'information, des arts et des spectacles",Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q17632457,https://fr.wikipedia.org/wiki/Laurent_Jacobelli,bac+5,economie-gestion | communication-journalisme,1,1,0,mixte_public_prive,haute,"Carrière très bien documentée et datée par le wikitexte Wikipédia (section « Vie privée et carrière », sourcée à Le Monde, L'Opinion, Le Point, Stratégies) : deux diplômes de commerce nommés (ESSEC 1992, ESCP 1993), puis une carrière de vingt ans dans l'audiovisuel privé (TF1, Coyote, FremantleMedia, Sunny Prod, Zodiak Kids/Marathon Media), avec un passage chez TV5 Monde (2005-2008), chaîne internationale à capitaux publics/consortium de diffuseurs publics, classée ici « public ». Le HATVP confirme ensuite le poste de délégué national du RN (2017-2022), poste politique rémunéré, avant son élection de 2022."
PA720354,M.,Jean-Michel,Jacques,1968-02-29,Metz,Ensemble pour la République,Morbihan,6,Infirmier des forces spéciales,"Professions de l’enseignement primaire et professionnel, de la formation continue et du sport",Professions intermédiaires,http://www.wikidata.org/entity/Q30338881,https://fr.wikipedia.org/wiki/Jean-Michel_Jacques,bac+3_4,medecine-sante,0,1,0,public_uniquement,moyenne,"Détails issus principalement des données Wikidata, la biographie trimmed étant très courte."
PA841439,M.,Pascal,Jenft,1966-11-29,Sarreguemines,Rassemblement National,Moselle,5,(21) - Artisan,Artisans,"Artisans, commerçants et chefs d'entreprise",http://www.wikidata.org/entity/Q62663934,https://fr.wikipedia.org/wiki/Pascal_Jenft,inconnu,,1,1,0,mixte_public_prive,haute,"Carrière de gendarme motocycliste pendant une vingtaine d'années (Wikipedia), suivie de la fondation en mars 2005 de l'entreprise de menuiserie FERMAP à Forbach/Sarreguemines, confirmée par le site de l'entreprise (« Créée en Mars 2005 par Pascal JENFT ») et par sa fiche dirigeant Infonet (gérant de FERMAP GEST). Aucun diplôme n'a été trouvé malgré plusieurs recherches ciblées. Sources consultées : Wikipedia FR, fermap.fr, infonet.fr. Les moteurs de recherche web étaient indisponibles/bloqués (WebSearch quota épuisé, DuckDuckGo et Brave anti-bot, Bing renvoyant des résultats non pertinents) pendant une bonne partie de cette session, limitant la recherche de sources de presse régionale supplémentaires et d'informations sur sa formation. - Diplôme toujours introuvable : JSON HATVP local sans champ formation, wikitext brut Wikipédia très court sans infobox détaillée. Le métier de gendarme n'est pas retenu pour une inférence de diplôme (le recrutement de sous-officier de gendarmerie ne correspond pas clairement à une des catégories listées dans la grille d'inférence) et « chef d'entreprise » est explicitement exclu par les règles. HATVP précise la structure de son entreprise de menuiserie : gérant non salarié de FERMAP-GEST (01/2018-02/2021), puis passage en direction salariée de la même structure (03/2021-03/2024) et poste d'assistant chez FERMAP (09/2020-07/2024, démission en juillet 2024) — cela affine sans changer le récit global (fondateur-gérant de l'entreprise de menuiserie depuis 2005, carrière antérieure de gendarme motocycliste)."
PA719778,M.,François,Jolivet,1966-03-21,Chateauroux,Horizons & Indépendants,Indre,1,Cadre supérieur (secteur privé),Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q30349518,https://fr.wikipedia.org/wiki/Fran%C3%A7ois_Jolivet,bac+5,droit | gestion-commerce,0,1,0,public_uniquement,haute,
PA794030,M.,Alexis,Jolly,1990-12-22,Besançon,Rassemblement National,Isère,6,Commerçant et assimilé,Commerçants et assimilés,"Artisans, commerçants et chefs d'entreprise",http://www.wikidata.org/entity/Q62887660,https://fr.wikipedia.org/wiki/Alexis_Jolly,inconnu,,1,0,0,prive_uniquement,haute,"Déclaration HATVP (dépôt du 23/01/2025) très détaillée, consultée directement : deux passages comme attaché parlementaire RN (2017-2019 puis 2019), en parallèle d'une activité continue et durable de diffuseur de presse indépendant (2017-2021) puis de libraire (SARL Piste Verte, 2021-2025, activité toujours en cours au dépôt de la déclaration), plus une activité ponctuelle d'examinateur vacataire à l'INSEEC et de consultant en micro-entreprise. L'activité économique privée/indépendante est la plus continue et la plus longue, d'où le classement « prive_uniquement » malgré les deux mandats d'attaché parlementaire (indiqués en secteur politique dans le détail de carrière pour transparence). Aucun diplôme n'a été trouvé (Wikipedia, fiche AN, HATVP ne mentionnent pas de formation). - Aucune nouvelle piste sur le diplôme : JSON HATVP local (très détaillé sur la carrière mais sans aucun champ formation), wikitext brut Wikipédia sans infobox détaillée, sans section éducation. La déclaration HATVP relue directement confirme exactement les mêmes postes et dates que celles déjà connues (attaché parlementaire RN à deux reprises, diffuseur de presse, vacations INSEEC, micro-entreprise de conseil, puis librairie Piste Verte) : aucune divergence, carrière laissée inchangée."
PA841749,Mme,Tiffany,Joncour,1989-09-02,Lyon 8,Rassemblement National,Rhône,13,(37) - Cadre administratif et commercial d'entreprise,Professions intermédiaires administratives et commerciales des entreprises,Professions intermédiaires,http://www.wikidata.org/entity/Q126599494,https://fr.wikipedia.org/wiki/Tiffany_Joncour,inconnu,,1,0,0,prive_uniquement,haute,"Sa carrière professionnelle est qualifiée de « floue » par la presse (Wikipedia FR) et son profil « discret, loin des estrades et des plateaux de télévision » (lemalpensant.fr). Elle est décrite comme « commerciale sans emploi » au moment de son élection en 2024. Aucun employeur nommé n'a pu être identifié malgré plusieurs recherches, y compris un article de presse consacré spécifiquement à sa biographie. Aucune information sur sa formation n'a été trouvée. Le secteur « privé » est retenu par déduction de la catégorie INSEE (« cadre administratif et commercial d'entreprise », qui exclut la fonction publique par définition), mais sans confirmation d'un employeur précis, d'où la confiance basse. Sources consultées : Wikipedia FR, fiche AN, lemalpensant.fr, Wikidata (occupations : cadres administratifs et commerciaux d'entreprise). Les moteurs de recherche généralistes étaient indisponibles/bloqués pendant une large partie de cette session. - Amélioration nette par rapport au premier passage (confiance « basse », employeur totalement inconnu) : le JSON HATVP local, non consulté lors du premier passage, révèle deux employeurs nommés et datés — assistante administrative chez IHL (06/2018-09/2018) et commerciale chez S France (09/2020-07/2023) — ce qui correspond bien à sa profession déclarée officielle (« cadre/profession intermédiaire administrative et commerciale d'entreprise ») et confirme un profil entièrement privé. La confiance est donc relevée à « haute » pour la carrière. Diplôme resté inconnu : le wikitext brut Wikipédia (infobox « université » vide, article axé sur ses accointances identitaires et sa vie politique) et l'article Mediapart cité en référence (payant, non accessible) ne fournissent aucune information sur ses études ; l'article confirme seulement qu'elle était « commerciale sans emploi » au moment de son élection, à la suite d'une carrière professionnelle qualifiée de « floue » par la presse — description désormais partiellement infirmée par les deux emplois retrouvés dans HATVP."
PA840745,M.,Édouard,Jordan,1987-11-06,Carcassone,Rassemblement National,Aude,1,Inspecteur des finances publiques,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q127413618,https://fr.wikipedia.org/wiki/%C3%89douard_Jordan_(homme_politique),bac+5,sciences politiques | economie,0,1,0,public_uniquement,haute,
PA841075,Mme,Sylvie,Josserand,1968-08-23,Mâcon,Rassemblement National,Gard,6,(31) - Profession libérale,Professions libérales,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q61861497,https://fr.wikipedia.org/wiki/Sylvie_Josserand,doctorat,droit,1,1,0,mixte_public_prive,haute,
